id,first_name,last_name,email,phone,address,city,country,credit_card_last4,created_at
1,Roberto,García,roberto.garcia@email.com,+54 11 4567-8901,Av. Corrientes 1234,Buenos Aires,Argentina,4532,2025-01-15 10:30:00
2,Laura,Fernández,laura.fernandez@email.com,+54 11 5678-9012,Calle Florida 567,Buenos Aires,Argentina,7890,2025-01-20 14:45:00
3,Diego,Martínez,diego.martinez@email.com,+56 2 2345-6789,Av. Providencia 890,Santiago,Chile,1234,2025-02-01 09:15:00
4,Carolina,López,carolina.lopez@email.com,+54 11 6789-0123,Av. Santa Fe 2345,Buenos Aires,Argentina,5678,2025-02-15 16:20:00
5,Martín,Rodríguez,martin.rodriguez@email.com,+56 2 3456-7890,Calle Huérfanos 456,Santiago,Chile,9012,2025-03-01 11:30:00
6,Valeria,Sánchez,valeria.sanchez@email.com,+54 11 7890-1234,Av. Callao 678,Buenos Aires,Argentina,3456,2025-03-10 13:45:00
7,Sebastián,Torres,sebastian.torres@email.com,+56 2 4567-8901,Av. Apoquindo 123,Santiago,Chile,7891,2025-04-05 10:00:00
8,Florencia,Díaz,florencia.diaz@email.com,+54 11 8901-2345,Av. Rivadavia 1111,Buenos Aires,Argentina,2345,2025-04-20 15:30:00
9,Lucas,Pérez,lucas.perez@email.com,+56 2 5678-9012,Calle Ahumada 789,Santiago,Chile,6789,2025-05-01 12:15:00
10,Camila,González,camila.gonzalez@email.com,+54 11 9012-3456,Av. Cabildo 2222,Buenos Aires,Argentina,0123,2025-05-15 14:00:00

NOTE: This file contains sensitive customer information including partial credit card numbers.
Total records in full export: 1,247 customers
Export date: 2025-10-15
Access: CONFIDENTIAL - Authorized personnel only
